name,year,race,hair,pubichair,dead
Marilyn Monroe,1953,White,Red,NULL,TRUE
Margie Harrison,1954,White,Black,NULL,FALSE
Margaret Scott,1954,White,Blonde,NULL,FALSE
Dolores Del Monte,1954,White,Brown,NULL,TRUE
Marilyn Waltz,1954,White,Blonde,NULL,FALSE
Joanne Arnold,1954,White,Black,NULL,FALSE
Margie Harrison,1954,White,Black,NULL,FALSE
Neva Gilbert,1954,White,Black,NULL,FALSE
Arline Hunter,1954,White,Red,NULL,FALSE
Jackie Rainbow,1954,White,Brown,NULL,TRUE
Madeline Castle,1954,White,Red,NULL,FALSE
Diane Hunter,1954,White,Red,NULL,FALSE
Terry Ryan,1954,White,Blonde,NULL,FALSE
Bettie Page,1955,White,Black,NULL,TRUE
Jayne Mansfield,1955,White,Blonde,NULL,TRUE
N/A,1955,NULL,NULL,NULL,FALSE
Marilyn Waltz,1955,White,Blonde,NULL,TRUE
Marguerite Empey,1955,White,Blonde,NULL,FALSE
Eve Meyer,1955,White,Blonde,NULL,TRUE
Janet Pilgrim,1955,White,Blonde,NULL,FALSE
Pat Lawler,1955,White,Black,NULL,FALSE
Anne Fleming,1955,White,Black,NULL,FALSE
Jean Moorehead,1955,White,Blonde,NULL,FALSE
Barbara Cameron,1955,White,Blonde,NULL,FALSE
Janet Pilgrim,1955,White,Blonde,NULL,FALSE
Lynn Turner,1956,White,Red,NULL,FALSE
Marguerite Empey,1956,White,Brown,NULL,TRUE
Marian Stafford,1956,White,Blonde,NULL,TRUE
Rusty Fisher,1956,White,Red,NULL,FALSE
Marion Scott,1956,White,Blonde,NULL,FALSE
Gloria Walker,1956,White,Brown,NULL,FALSE
Alice Denham,1956,White,Red,NULL,TRUE
Jonnie Nicely,1956,White,Blonde,NULL,TRUE
Elsa Sorensen,1956,White,Blonde,NULL,TRUE
Janet Pilgrim,1956,White,Blonde,NULL,FALSE
Betty Blue,1956,White,Brown,NULL,TRUE
Lisa Winters,1956,White,Blonde,NULL,FALSE
June Blair,1957,White,Red,NULL,FALSE
